  PERMNO        date            ge         vwretd        ewretd        sprtrn
   12060    19810130       0.000000     -0.040085      0.005615     -0.045742
   12060    19810227       0.089796      0.015521      0.002150      0.013277
   12060    19810331       0.014981      0.046184      0.072674      0.036033
   12060    19810430      -0.020522     -0.011268      0.027885     -0.023456
   12060    19810529       0.001905      0.013551      0.027187     -0.001657
   12060    19810630      -0.046768     -0.010242     -0.013194     -0.010408
   12060    19810731      -0.014141     -0.003080     -0.019980     -0.002210
   12060    19810831      -0.084016     -0.056279     -0.071906     -0.062099
   12060    19810930      -0.003579     -0.063772     -0.090061     -0.053832
   12060    19811030      -0.011390      0.060162      0.069728      0.049148
   12060    19811130       0.112903      0.045849      0.021667      0.036590
   12060    19811231      -0.036439     -0.028096     -0.019694     -0.030075
   12060    19820129       0.089325     -0.026209     -0.017347     -0.017544
   12060    19820226       0.006000     -0.051126     -0.047987     -0.060548
   12060    19820331       0.020676     -0.010099     -0.012064     -0.010167
   12060    19820430       0.011834      0.043267      0.052242      0.040014
   12060    19820528      -0.035088     -0.028212     -0.022490     -0.039162
   12060    19820630       0.042020     -0.023912     -0.036699     -0.020290
   12060    19820730       0.033399     -0.020526     -0.014776     -0.022991
   12060    19820831       0.144487      0.119013      0.063285      0.115977
   12060    19820930       0.004651      0.016761      0.033164      0.007614
   12060    19821029       0.148829      0.118636      0.128447      0.110364
   12060    19821130       0.087045      0.051935      0.092037      0.036123
   12060    19821231       0.025676      0.014516      0.023447      0.015158
   12060    19830131       0.090909      0.041850      0.117062      0.033134
   12060    19830228       0.048309      0.030218      0.047266      0.018995
   12060    19830331      -0.024424      0.034673      0.050515      0.033095
   12060    19830429       0.065476      0.074188      0.080687      0.074922
   12060    19830531      -0.075978      0.013224      0.091740     -0.012346
   12060    19830630       0.073277      0.037837      0.046341      0.035224
   12060    19830729      -0.093182     -0.031567     -0.017556     -0.033014
   12060    19830831       0.025063      0.003464     -0.032920      0.011319
   12060    19830930       0.041076      0.016059      0.000051      0.010158
