  dateff          smb          hml        mktrf          rf          umd
19610131     0.007900     0.038100     0.062000     0.00190    -0.040200
19610228     0.039900    -0.007000     0.035600     0.00140     0.010200
19610330     0.032300    -0.006800     0.028800     0.00200     0.040700
19610428     0.000900     0.019900     0.002900     0.00170     0.034700
19610531     0.019600     0.005600     0.024000     0.00180    -0.015600
19610630    -0.024800    -0.002400    -0.030800     0.00200     0.002600
19610731    -0.018900    -0.001100     0.028300     0.00180     0.002500
19610831    -0.018300    -0.002200     0.025800     0.00140     0.016200
19610929    -0.011100    -0.005100    -0.021500     0.00170     0.007400
19611031    -0.020200     0.005400     0.025800     0.00190     0.031900
19611130     0.010800    -0.008700     0.044400     0.00150     0.013200
19611229    -0.011400     0.021600    -0.001700     0.00190    -0.022400
19620131     0.018800     0.050400    -0.038800     0.00240    -0.020500
19620228    -0.011800     0.008900     0.018100     0.00200    -0.009600
19620330     0.002300    -0.009600    -0.006800     0.00200     0.018300
19620430    -0.009800     0.004300    -0.065900     0.00220     0.028800
19620531    -0.029800     0.023700    -0.086500     0.00240     0.003300
19620629    -0.007500     0.028100    -0.084800     0.00200     0.064200
19620731     0.015500    -0.036000     0.062800     0.00270     0.007200
19620831     0.012800    -0.012200     0.021300     0.00230    -0.005900
19620928    -0.025100     0.013800    -0.052200     0.00210     0.039600
19621031    -0.040000     0.013700    -0.000500     0.00250     0.007200
19621130     0.026500     0.009400     0.108700     0.00200    -0.071500
19621231    -0.037600     0.003400     0.010100     0.00230     0.058100
19630131     0.030900     0.022700     0.049300     0.00250    -0.021100
19630228     0.004100     0.022600    -0.023800     0.00230     0.025000
19630329    -0.025200     0.020000     0.030800     0.00230     0.015800
19630430    -0.013300     0.010200     0.045100     0.00250    -0.000800
19630531     0.011400     0.025100     0.017600     0.00240     0.003700
19630628    -0.002500     0.007800    -0.020000     0.00230     0.011800
19630731    -0.005500    -0.008200    -0.003900     0.00270     0.009900
19630830    -0.009700     0.016300     0.050700     0.00250     0.010800
