  PERMNO        date             ba        vwretd        ewretd        sprtrn
   19561    19610131       0.044218      0.063952      0.082048      0.063156
   19561    19610228       0.095114      0.037005      0.060130      0.026870
   19561    19610330       0.096096      0.030609      0.049888      0.025536
   19561    19610428      -0.016438      0.005640      0.009487      0.003843
   19561    19610531       0.061838      0.025889      0.041572      0.019139
   19561    19610630       0.031746     -0.028499     -0.042415     -0.028846
   19561    19610731       0.082051      0.029952      0.011517      0.032797
   19561    19610831       0.024171      0.026853      0.021358      0.019623
   19561    19610929      -0.011655     -0.019985     -0.029686     -0.019686
   19561    19611031      -0.091981      0.027331      0.020988      0.028323
   19561    19611130      -0.015584      0.045452      0.046461      0.039347
   19561    19611229       0.069333      0.000712     -0.003757      0.003225
   19561    19620131       0.119701     -0.036145     -0.007807     -0.037876
   19561    19620228      -0.035635      0.019518      0.015405      0.016270
   19561    19620330      -0.065268     -0.004686     -0.006241     -0.005860
   19561    19620430      -0.102244     -0.063432     -0.068134     -0.061970
   19561    19620531      -0.027778     -0.084620     -0.098186     -0.085990
   19561    19620629      -0.057803     -0.082615     -0.085125     -0.081838
   19561    19620731       0.021472      0.065438      0.064000      0.063562
   19561    19620831      -0.015015      0.023414      0.037061      0.015284
   19561    19620928      -0.061728     -0.050154     -0.063830     -0.048207
   19561    19621031       0.006579      0.002184     -0.039528      0.004443
   19561    19621130       0.029412      0.110137      0.121176      0.101557
   19561    19621231      -0.045016      0.011865     -0.025561      0.013492
   19561    19630131       0.053872      0.051848      0.089140      0.049128
   19561    19630228      -0.009585     -0.021931     -0.014477     -0.028852
   19561    19630329      -0.052288      0.032917      0.012027      0.035464
   19561    19630430       0.020690      0.047439      0.026890      0.048520
   19561    19630531       0.006757      0.020051      0.032306      0.014327
   19561    19630628      -0.037415     -0.018030     -0.010383     -0.020198
   19561    19630731      -0.070671     -0.001718     -0.006304     -0.003460
   19561    19630830       0.079848      0.052684      0.042305      0.048749
   19561    19630930      -0.042857     -0.011898     -0.010373     -0.011034
   19561    19631031       0.014925      0.027708      0.012208      0.032218
   19561    19631129       0.139706     -0.005549     -0.016139     -0.010539
   19561    19631231      -0.062092      0.021736     -0.004228      0.024444
   19561    19640131       0.108014      0.025790      0.032092      0.026926
   19561    19640228       0.072327      0.017207      0.025173      0.009865
   19561    19640331       0.041543      0.017636      0.025510      0.015167
   19561    19640430      -0.022792      0.004608      0.001004      0.006077
   19561    19640528       0.157434      0.017403      0.007507      0.011452
   19561    19640630       0.081425      0.015080      0.010411      0.016424
   19561    19640731       0.051765      0.020118      0.030161      0.018240
   19561    19640831       0.087248     -0.011266     -0.006038     -0.016230
   19561    19640930       0.114108      0.030480      0.038248      0.028718
   19561    19641030      -0.089385      0.008869      0.018821      0.008078
   19561    19641130       0.083845      0.003089     -0.000516     -0.005185
   19561    19641231       0.047529      0.003690     -0.012365      0.003909
   19561    19650129      -0.039927      0.038646      0.071403      0.033156
   19561    19650226       0.034026      0.006946      0.032315     -0.001485
   19561    19650331      -0.075506     -0.009715      0.015393     -0.014526
   19561    19650430       0.185259      0.033652      0.041560      0.034239
   19561    19650528      -0.011765     -0.004350     -0.005845     -0.007743
   19561    19650630      -0.083904     -0.051868     -0.083718     -0.048632
   19561    19650730       0.153271      0.016759      0.028633      0.013433
   19561    19650831       0.079417      0.030883      0.041844      0.022522
   19561    19650930       0.208459      0.031952      0.027420      0.032006
   19561    19651029       0.236250      0.029271      0.058679      0.027345
   19561    19651130       0.139535      0.003065      0.046544     -0.008764
   19561    19651231      -0.065237      0.013545      0.042981      0.008951
   19561    19660131       0.275335      0.012122      0.064170      0.004869
   19561    19660228       0.005997     -0.008621      0.028865     -0.017873
   19561    19660331      -0.081465     -0.020923     -0.008889     -0.021815
   19561    19660429       0.008950      0.024837      0.046619      0.020509
   19561    19660531      -0.121359     -0.052539     -0.086024     -0.054140
   19561    19660630       0.087848     -0.010317     -0.004988     -0.016138
   19561    19660729      -0.160000     -0.012870     -0.016316     -0.013453
   19561    19660831      -0.095870     -0.075388     -0.100714     -0.077751
